Date,Region,Country,Elevation (m),Wind (Beaufort),Temperature (°C),Precipitation (mm),Snow Depth (cm)
2025-09-01,Berchtesgaden,Germany,518,5,22.6,0,0
2025-09-01,Feldberg,Germany,1493,7,21,0,0
2025-09-01,Innsbruck,Austria,574,6,26.2,13.7,0
2025-09-01,St. Anton am Arlberg,Austria,1304,5,11.6,13.2,0
2025-09-01,Kitzbühel,Austria,762,5,18.9,0,0
2025-09-01,Salzburg,Austria,424,5,22.4,0,0
2025-09-01,Bad Gastein,Austria,1002,6,16.6,17.4,0
2025-09-01,Zermatt,Switzerland,1620,7,9.3,0,15
2025-09-01,St. Moritz,Switzerland,1856,4,12.2,0,9
2025-09-01,Verbier,Switzerland,1500,6,13.3,0,0
2025-09-01,Davos,Switzerland,1560,6,4.2,0,5
2025-09-01,Interlaken,Switzerland,568,4,15.8,0,0
2025-08-31,Garmisch-Partenkirchen,Germany,750,4,23.1,0,0
2025-08-31,Oberstdorf,Germany,813,4,19.9,24.9,0
2025-08-31,Berchtesgaden,Germany,518,6,29.4,0,0
2025-08-31,Feldberg,Germany,1493,6,8.1,6.7,0
2025-08-31,Innsbruck,Austria,574,7,12.4,0,0
2025-08-31,St. Anton am Arlberg,Austria,1304,3,15.6,0,0
2025-08-31,Kitzbühel,Austria,762,4,22.7,0,0
2025-08-31,Salzburg,Austria,424,5,24.8,10.4,0
2025-08-31,Bad Gastein,Austria,1002,4,16.4,0,0
2025-08-31,Zermatt,Switzerland,1620,4,12.7,0,10
2025-08-31,St. Moritz,Switzerland,1856,6,9.5,22.8,16
2025-08-31,Verbier,Switzerland,1500,6,9,0,0
2025-08-31,Davos,Switzerland,1560,7,3.2,0,12
2025-08-31,Interlaken,Switzerland,568,6,25.2,0,0
2025-08-30,Garmisch-Partenkirchen,Germany,750,3,21,0,0
2025-08-30,Oberstdorf,Germany,813,6,22.6,0,0
2025-08-30,Berchtesgaden,Germany,518,4,10.9,0,0
2025-08-30,Feldberg,Germany,1493,6,14.5,14.8,0
2025-08-30,Innsbruck,Austria,574,4,13.3,0,0
2025-08-30,St. Anton am Arlberg,Austria,1304,4,12,0,0
2025-08-30,Kitzbühel,Austria,762,5,22.7,0,0
2025-08-30,Salzburg,Austria,424,6,15.6,0,0
2025-08-30,Bad Gastein,Austria,1002,5,14.5,4,0
2025-08-30,Zermatt,Switzerland,1620,5,13.2,24.1,18
2025-08-30,St. Moritz,Switzerland,1856,4,5.9,0,5
2025-08-30,Verbier,Switzerland,1500,7,22.2,0,0
2025-08-30,Davos,Switzerland,1560,6,5,0,6
2025-08-30,Interlaken,Switzerland,568,6,19.1,0,0
2025-08-29,Garmisch-Partenkirchen,Germany,750,6,24.9,0,0
2025-08-29,Oberstdorf,Germany,813,5,23.4,0,0
2025-08-29,Berchtesgaden,Germany,518,4,16.9,0,0
2025-08-29,Feldberg,Germany,1493,4,19.2,0,0
2025-08-29,Innsbruck,Austria,574,6,31,5.7,0
2025-08-29,St. Anton am Arlberg,Austria,1304,6,10.7,0,0
2025-08-29,Kitzbühel,Austria,762,6,19.1,0,0
2025-08-29,Salzburg,Austria,424,4,19.7,8.8,0
2025-08-29,Bad Gastein,Austria,1002,6,4.7,0,0
2025-08-29,Zermatt,Switzerland,1620,6,13.2,0,17
2025-08-29,St. Moritz,Switzerland,1856,6,13.2,0,9
2025-08-29,Verbier,Switzerland,1500,4,6,0,0
2025-08-29,Davos,Switzerland,1560,4,16.3,6.7,19
2025-08-29,Interlaken,Switzerland,568,6,17.4,0,0
2025-08-28,Garmisch-Partenkirchen,Germany,750,6,14.6,0,0
2025-08-28,Oberstdorf,Germany,813,4,27.3,0,0
2025-08-28,Berchtesgaden,Germany,518,6,25.3,0,0
2025-08-28,Feldberg,Germany,1493,5,22.4,0,0
2025-08-28,Innsbruck,Austria,574,5,19.7,0,0
2025-08-28,St. Anton am Arlberg,Austria,1304,7,23.1,0,0
2025-08-28,Kitzbühel,Austria,762,7,15,12.1,0
2025-08-28,Salzburg,Austria,424,5,23.3,0,0
2025-08-28,Bad Gastein,Austria,1002,3,21.2,0,0
2025-08-28,Zermatt,Switzerland,1620,6,20,15.2,20
2025-08-28,St. Moritz,Switzerland,1856,7,21.5,0,5
2025-08-28,Verbier,Switzerland,1500,5,11.5,0,0
2025-08-28,Davos,Switzerland,1560,5,4.5,0,16
2025-08-28,Interlaken,Switzerland,568,3,18.9,0,0
2025-08-27,Garmisch-Partenkirchen,Germany,750,5,20.5,0,0
2025-08-27,Oberstdorf,Germany,813,5,15.2,0,0
2025-08-27,Berchtesgaden,Germany,518,4,18.5,0,0
2025-08-27,Feldberg,Germany,1493,6,9.7,0,0
2025-08-27,Innsbruck,Austria,574,4,17.9,0,0
2025-08-27,St. Anton am Arlberg,Austria,1304,7,9.2,0,0
2025-08-27,Kitzbühel,Austria,762,5,15.5,13.3,0
2025-08-27,Salzburg,Austria,424,3,23.9,0,0
2025-08-27,Bad Gastein,Austria,1002,6,10.4,0,0
2025-08-27,Zermatt,Switzerland,1620,8,7,24.9,14
2025-08-27,St. Moritz,Switzerland,1856,6,18.8,0,17
2025-08-27,Verbier,Switzerland,1500,5,10.9,11.3,0
2025-08-27,Davos,Switzerland,1560,4,13,0,5
2025-08-27,Interlaken,Switzerland,568,4,23.7,0,0
2025-08-26,Garmisch-Partenkirchen,Germany,750,6,16.3,0,0
2025-08-26,Oberstdorf,Germany,813,5,20.3,17.3,0
2025-08-26,Berchtesgaden,Germany,518,5,24.8,0,0
2025-08-26,Feldberg,Germany,1493,5,13.2,0,0
2025-08-26,Innsbruck,Austria,574,4,8.8,0,0
2025-08-26,St. Anton am Arlberg,Austria,1304,5,24.5,0,0
2025-08-26,Kitzbühel,Austria,762,5,13.9,21.6,0
2025-08-26,Salzburg,Austria,424,5,22,0,0
2025-08-26,Bad Gastein,Austria,1002,4,17.2,0,0
2025-08-26,Zermatt,Switzerland,1620,7,13.7,16.1,12
2025-08-26,St. Moritz,Switzerland,1856,7,16.3,0,4
2025-08-26,Verbier,Switzerland,1500,6,19.9,0,0
2025-08-26,Davos,Switzerland,1560,5,15.8,0,8
2025-08-26,Interlaken,Switzerland,568,3,27.6,8.4,0
2025-08-25,Garmisch-Partenkirchen,Germany,750,4,19.8,0,0
2025-08-25,Oberstdorf,Germany,813,5,13.9,18,0
2025-08-25,Berchtesgaden,Germany,518,4,28.6,0,0
2025-08-25,Feldberg,Germany,1493,4,15,0,0
2025-08-25,Innsbruck,Austria,574,5,13.5,0,0
2025-08-25,St. Anton am Arlberg,Austria,1304,6,7.9,17.2,0
2025-08-25,Kitzbühel,Austria,762,6,24.7,0,0
2025-08-25,Salzburg,Austria,424,3,17.5,3.8,0
2025-08-25,Bad Gastein,Austria,1002,7,14.9,0,0
2025-08-25,Zermatt,Switzerland,1620,7,3.9,0,2
2025-08-25,St. Moritz,Switzerland,1856,7,16.7,14.2,16
2025-08-25,Verbier,Switzerland,1500,4,3.7,0,0
2025-08-25,Davos,Switzerland,1560,7,11.7,0,20
2025-08-25,Interlaken,Switzerland,568,5,24.3,12.3,0
2025-08-24,Garmisch-Partenkirchen,Germany,750,3,18.9,0,0
2025-08-24,Oberstdorf,Germany,813,6,20.4,0,0
2025-08-24,Berchtesgaden,Germany,518,6,25.3,18.2,0
2025-08-24,Feldberg,Germany,1493,4,8.3,0,0
2025-08-24,Innsbruck,Austria,574,5,25.5,0,0
2025-08-24,St. Anton am Arlberg,Austria,1304,6,12.3,0,0
2025-08-24,Kitzbühel,Austria,762,4,20.2,23,0
2025-08-24,Salzburg,Austria,424,3,21.2,0,0
2025-08-24,Bad Gastein,Austria,1002,6,17.4,0.6,0
2025-08-24,Zermatt,Switzerland,1620,5,4.6,0,4
2025-08-24,St. Moritz,Switzerland,1856,5,12.7,3.6,5
2025-08-24,Verbier,Switzerland,1500,4,4.8,0,0
2025-08-24,Davos,Switzerland,1560,4,15.7,13,10
2025-08-24,Interlaken,Switzerland,568,3,23.4,0,0
2025-08-23,Garmisch-Partenkirchen,Germany,750,3,17,4.6,0
2025-08-23,Oberstdorf,Germany,813,5,23.4,1.5,0
2025-08-23,Berchtesgaden,Germany,518,4,20.2,0,0
2025-08-23,Feldberg,Germany,1493,6,17.9,0,0
2025-08-23,Innsbruck,Austria,574,6,25.4,0,0
2025-08-23,St. Anton am Arlberg,Austria,1304,5,24.1,0,0
2025-08-23,Kitzbühel,Austria,762,4,7.8,0,0
2025-08-23,Salzburg,Austria,424,5,21.6,0,0
2025-08-23,Bad Gastein,Austria,1002,3,16.6,0,0
2025-08-23,Zermatt,Switzerland,1620,5,20.2,23.4,2
2025-08-23,St. Moritz,Switzerland,1856,7,12.9,0,10
2025-08-23,Verbier,Switzerland,1500,7,6.5,0.5,0
2025-08-23,Davos,Switzerland,1560,7,14.4,0,4
2025-08-23,Interlaken,Switzerland,568,3,22.2,0,0
2025-08-22,Garmisch-Partenkirchen,Germany,750,5,24.2,0,0
2025-08-22,Oberstdorf,Germany,813,5,15.6,0,0
2025-08-22,Berchtesgaden,Germany,518,4,24.9,14.8,0
2025-08-22,Feldberg,Germany,1493,7,7.2,0,0
2025-08-22,Innsbruck,Austria,574,5,18.3,0,0
2025-08-22,St. Anton am Arlberg,Austria,1304,6,20.6,15.4,0
2025-08-22,Kitzbühel,Austria,762,3,8,16.9,0
2025-08-22,Salzburg,Austria,424,5,16.3,0,0
2025-08-22,Bad Gastein,Austria,1002,3,19.1,0,0
2025-08-22,Zermatt,Switzerland,1620,5,10.1,0,3
2025-08-22,St. Moritz,Switzerland,1856,7,12.2,19.4,4
2025-08-22,Verbier,Switzerland,1500,6,7.7,0,0
2025-08-22,Davos,Switzerland,1560,5,12.2,0,3
2025-08-22,Interlaken,Switzerland,568,6,18,0,0
2025-08-21,Garmisch-Partenkirchen,Germany,750,6,20.4,8.5,0
2025-08-21,Oberstdorf,Germany,813,5,13.8,0,0
2025-08-21,Berchtesgaden,Germany,518,6,11.9,9,0
2025-08-21,Feldberg,Germany,1493,4,20.4,0,0
2025-08-21,Innsbruck,Austria,574,5,9.9,0,0
2025-08-21,St. Anton am Arlberg,Austria,1304,5,18.5,0,0
2025-08-21,Kitzbühel,Austria,762,5,8.1,22,0
2025-08-21,Salzburg,Austria,424,3,22.8,0,0
2025-08-21,Bad Gastein,Austria,1002,7,9.3,0,0
2025-08-21,Zermatt,Switzerland,1620,4,16.1,15.4,18
2025-08-21,St. Moritz,Switzerland,1856,5,10.5,0,19
2025-08-21,Verbier,Switzerland,1500,4,12.1,6.4,0
2025-08-21,Davos,Switzerland,1560,4,14.4,18.8,5
2025-08-21,Interlaken,Switzerland,568,4,29.4,0,0
2025-08-20,Garmisch-Partenkirchen,Germany,750,6,20,0,0
2025-08-20,Oberstdorf,Germany,813,3,19.4,0,0
2025-08-20,Berchtesgaden,Germany,518,4,12.3,18.5,0
2025-08-20,Feldberg,Germany,1493,6,11.8,17.8,0
2025-08-20,Innsbruck,Austria,574,5,15.9,0,0
2025-08-20,St. Anton am Arlberg,Austria,1304,4,5.5,0,0
2025-08-20,Kitzbühel,Austria,762,4,17.3,16.1,0
2025-08-20,Salzburg,Austria,424,6,25.9,0,0
2025-08-20,Bad Gastein,Austria,1002,7,18,0,0
2025-08-20,Zermatt,Switzerland,1620,5,10.9,16.6,3
2025-08-20,St. Moritz,Switzerland,1856,8,9.3,9.8,21
2025-08-20,Verbier,Switzerland,1500,5,13.7,0,0
2025-08-20,Davos,Switzerland,1560,4,8.4,0,1
2025-08-20,Interlaken,Switzerland,568,3,21.3,4.1,0
2025-08-19,Garmisch-Partenkirchen,Germany,750,3,13.5,7,0
2025-08-19,Oberstdorf,Germany,813,5,20.9,13.1,0
2025-08-19,Berchtesgaden,Germany,518,4,25.5,0,0
2025-08-19,Feldberg,Germany,1493,7,14.8,20.5,0
2025-08-19,Innsbruck,Austria,574,5,19.5,11.3,0
2025-08-19,St. Anton am Arlberg,Austria,1304,7,16.7,5.1,0
2025-08-19,Kitzbühel,Austria,762,3,17.8,0,0
2025-08-19,Salzburg,Austria,424,5,21.7,0,0
2025-08-19,Bad Gastein,Austria,1002,4,6.9,0,0
2025-08-19,Zermatt,Switzerland,1620,6,15.3,0,6
2025-08-19,St. Moritz,Switzerland,1856,6,10.4,4.5,22
2025-08-19,Verbier,Switzerland,1500,4,8.8,0,0
2025-08-19,Davos,Switzerland,1560,6,13.2,0,15
2025-08-19,Interlaken,Switzerland,568,5,22.1,0,0
2025-08-18,Garmisch-Partenkirchen,Germany,750,4,18.2,8.2,0
2025-08-18,Oberstdorf,Germany,813,5,17,0,0
2025-08-18,Berchtesgaden,Germany,518,5,22.3,23.5,0
2025-08-18,Feldberg,Germany,1493,7,6.2,23.8,0
2025-08-18,Innsbruck,Austria,574,4,23.9,22.4,0
2025-08-18,St. Anton am Arlberg,Austria,1304,4,13.8,9.3,0
2025-08-18,Kitzbühel,Austria,762,4,26.9,0,0
2025-08-18,Salzburg,Austria,424,5,29.9,0,0
2025-08-18,Bad Gastein,Austria,1002,4,23,0,0
2025-08-18,Zermatt,Switzerland,1620,6,5.7,0,15
2025-08-18,St. Moritz,Switzerland,1856,6,4.5,0,13
2025-08-18,Verbier,Switzerland,1500,4,9.4,0,0
