Region,Country,Year,Month,Day,Elevation (m),Wind (Beaufort),Temperature (°C),Precipitation (mm),Daily Snow Depth (cm),Monthly Snow Depth (cm),Mean Snow Depth (cm),Max Snow Depth (cm),Days where AVG Temp < 0C
Adelboden,Switzerland,2011,3,,,,,,,7,7.87096774193548,35,15
Adelboden,Switzerland,2011,4,,,,,,,9,0.3,9,1
Adelboden,Switzerland,2011,5,,,,,,,1,0.032258064516129,1,1
Adelboden,Switzerland,2011,10,,,,,,,28,1.12903225806452,22,4
Adelboden,Switzerland,2011,11,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2011,12,,,,,,,191,21.1612903225806,64,24
Adelboden,Switzerland,2012,1,,,,,,,155,56.4516129032258,78,31
Adelboden,Switzerland,2012,2,,,,,,,66,74.8275862068966,94,29
Adelboden,Switzerland,2012,3,,,,,,,52,30.9032258064516,58,28
Adelboden,Switzerland,2012,4,,,,,,,51,2.06666666666667,17,14
Adelboden,Switzerland,2012,5,,,,,,,5,0.161290322580645,3,2
Adelboden,Switzerland,2012,6,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2012,7,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2012,8,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2012,9,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2012,10,,,,,,,25,1.67741935483871,18,5
Adelboden,Switzerland,2012,11,,,,,,,57,3.06666666666667,29,8
Adelboden,Switzerland,2012,12,,,,,,,171,33.0645161290323,61,31
Adelboden,Switzerland,2013,1,,,,,,,90,30.0322580645161,47,31
Adelboden,Switzerland,2013,2,,,,,,,165,56.6428571428572,71,28
Adelboden,Switzerland,2013,3,,,,,,,77,35.0967741935484,56,31
Adelboden,Switzerland,2013,4,,,,,,,52,11.2666666666667,37,17
Adelboden,Switzerland,2013,5,,,,,,,47,1.70967741935484,18,7
Adelboden,Switzerland,2013,10,,,,,,,22,0.806451612903226,11,3
Adelboden,Switzerland,2013,11,,,,,,,88,12.7333333333333,31,20
Adelboden,Switzerland,2013,12,,,,,,,76,19.3548387096774,52,31
Adelboden,Switzerland,2014,1,,,,,,,114,28.741935483871,53,31
Adelboden,Switzerland,2014,2,,,,,,,129,47.3928571428572,62,28
Adelboden,Switzerland,2014,3,,,,,,,55,24.4516129032258,53,26
Adelboden,Switzerland,2014,4,,,,,,,24,0.933333333333333,11,6
Adelboden,Switzerland,2014,5,,,,,,,17,0.548387096774194,8,5
Adelboden,Switzerland,2014,10,,,,,,,16,0.709677419354839,15,3
Adelboden,Switzerland,2014,11,,,,,,,29,2.0,26,8
Adelboden,Switzerland,2014,12,,,,,,,87,7.0,38,17
Adelboden,Switzerland,2015,1,,,,,,,125,20.0,48,29
Adelboden,Switzerland,2015,2,,,,,,,83,39.8571428571429,61,28
Adelboden,Switzerland,2015,3,,,,,,,58,18.6774193548387,58,24
Adelboden,Switzerland,2015,4,,,,,,,36,1.8,17,7
Adelboden,Switzerland,2015,5,,,,,,,31,1.41935483870968,22,4
Adelboden,Switzerland,2015,10,,,,,,,7,0.354838709677419,9,3
Adelboden,Switzerland,2015,11,,,,,,,85,10.8333333333333,51,10
Adelboden,Switzerland,2015,12,,,,,,,0,4.32258064516129,22,16
Adelboden,Switzerland,2016,1,,,,,,,98,19.9032258064516,48,29
Adelboden,Switzerland,2016,2,,,,,,,137,19.3448275862069,38,27
Adelboden,Switzerland,2016,3,,,,,,,83,16.2258064516129,37,25
Adelboden,Switzerland,2016,4,,,,,,,82,3.36666666666667,32,9
Adelboden,Switzerland,2016,5,,,,,,,43,2.25806451612903,28,6
Adelboden,Switzerland,2016,10,,,,,,,2,0.0645161290322581,2,1
Adelboden,Switzerland,2016,11,,,,,,,65,6.2,34,13
Adelboden,Switzerland,2016,12,,,,,,,2,0.0645161290322581,2,1
Adelboden,Switzerland,2017,1,,,,,,,95,25.9032258064516,45,29
Adelboden,Switzerland,2017,2,,,,,,,70,27.9642857142857,48,28
Adelboden,Switzerland,2017,3,,,,,,,67,5.2258064516129,38,11
Adelboden,Switzerland,2017,4,,,,,,,35,1.7,23,6
Adelboden,Switzerland,2017,5,,,,,,,6,0.193548387096774,4,2
Adelboden,Switzerland,2017,10,,,,,,,2,0.0645161290322581,2,1
Adelboden,Switzerland,2017,11,,,,,,,94,10.6666666666667,35,23
Adelboden,Switzerland,2017,12,,,,,,,140,27.9677419354839,47,31
Adelboden,Switzerland,2018,1,,,,,,,60,12.4516129032258,37,31
Adelboden,Switzerland,2018,2,,,,,,,47,14.3214285714286,31,28
Adelboden,Switzerland,2018,3,,,,,,,60,7.45161290322581,18,24
Adelboden,Switzerland,2018,4,,,,,,,16,1.06666666666667,21,3
Adelboden,Switzerland,2018,5,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2018,10,,,,,,,3,0.0967741935483871,3,1
Adelboden,Switzerland,2018,11,,,,,,,13,0.9,11,5
Adelboden,Switzerland,2018,12,,,,,,,83,14.0967741935484,44,23
Adelboden,Switzerland,2019,1,,,,,,,138,34.2903225806452,66,31
Adelboden,Switzerland,2019,2,,,,,,,82,60.1071428571429,86,28
Adelboden,Switzerland,2019,3,,,,,,,71,19.5806451612903,42,24
Adelboden,Switzerland,2019,4,,,,,,,51,2.53333333333333,30,8
Adelboden,Switzerland,2019,5,,,,,,,21,0.806451612903226,15,2
Alp_Grum,Switzerland,2006,10,,,,,,,0,0.0,0,0
Alp_Grum,Switzerland,2006,11,,,,,,,13,2.33333333333333,8,13
Alp_Grum,Switzerland,2006,12,,,,,,,97,46.4838709677419,75,31
Alp_Grum,Switzerland,2007,1,,,,,,,120,67.6129032258065,125,31
Alp_Grum,Switzerland,2007,2,,,,,,,45,53.25,90,28
Alp_Grum,Switzerland,2007,3,,,,,,,61,45.7096774193548,76,31
Alp_Grum,Switzerland,2007,4,,,,,,,3,5.8,25,12
Alp_Grum,Switzerland,2007,5,,,,,,,0,0.0,0,0
Alp_Grum,Switzerland,2007,10,,,,,,,0,0.0,0,0
Alp_Grum,Switzerland,2007,11,,,,,,,126,28.3666666666667,65,22
Alp_Grum,Switzerland,2007,12,,,,,,,30,53.7096774193548,60,31
Alp_Grum,Switzerland,2008,1,,,,,,,175,143.870967741935,210,31
Alp_Grum,Switzerland,2008,2,,,,,,,45,125.862068965517,170,29
Alp_Grum,Switzerland,2008,3,,,,,,,68,88.6451612903226,110,31
Alp_Grum,Switzerland,2008,4,,,,,,,145,101.5,140,30
Alp_Grum,Switzerland,2008,10,,,,,,,20,1.09677419354839,10,5
Alp_Grum,Switzerland,2008,11,,,,,,,195,46.0,135,27
Alp_Grum,Switzerland,2008,12,,,,,,,165,166.451612903226,215,31
Alp_Grum,Switzerland,2009,1,,,,,,,185,168.548387096774,230,31
Alp_Grum,Switzerland,2009,2,,,,,,,185,281.785714285714,350,28
Alp_Grum,Switzerland,2009,3,,,,,,,125,275.161290322581,310,31
Alp_Grum,Switzerland,2009,4,,,,,,,80,216.0,280,30
Alp_Grum,Switzerland,2009,5,,,,,,,0,63.1612903225807,165,23
Alp_Grum,Switzerland,2009,10,,,,,,,22,2.16129032258065,20,6
Alp_Grum,Switzerland,2009,11,,,,,,,93,8.2,70,18
Alp_Grum,Switzerland,2009,12,,,,,,,205,130.322580645161,175,31
Alp_Grum,Switzerland,2010,1,,,,,,,37,141.322580645161,165,31
Alp_Grum,Switzerland,2010,2,,,,,,,140,149.464285714286,220,28
Alp_Grum,Switzerland,2010,3,,,,,,,40,167.741935483871,220,31
Alp_Grum,Switzerland,2010,4,,,,,,,78,139.766666666667,210,30
Alp_Grum,Switzerland,2010,11,,,,,,,193,46.8,98,30
Alp_Grum,Switzerland,2010,12,,,,,,,180,153.548387096774,210,31
Alp_Grum,Switzerland,2011,1,,,,,,,100,216.612903225806,245,31
Alp_Grum,Switzerland,2011,2,,,,,,,40,202.321428571429,225,28
Alp_Grum,Switzerland,2011,3,,,,,,,43,142.193548387097,170,31
Alp_Grum,Switzerland,2011,4,,,,,,,0,34.6666666666667,95,22
Alp_Grum,Switzerland,2011,5,,,,,,,15,0.483870967741936,10,2
Alp_Grum,Switzerland,2011,11,,,,,,,0,0.0,0,0
Alp_Grum,Switzerland,2011,12,,,,,,,113,30.5161290322581,75,24
Alp_Grum,Switzerland,2012,1,,,,,,,83,50.4838709677419,75,31
Alp_Grum,Switzerland,2012,2,,,,,,,23,43.4137931034483,66,29
Alp_Grum,Switzerland,2012,3,,,,,,,35,13.9677419354839,40,31
Alp_Grum,Switzerland,2012,4,,,,,,,185,25.3333333333333,90,25
Alp_Grum,Switzerland,2012,11,,,,,,,78,8.26666666666667,45,17
Alp_Grum,Switzerland,2012,12,,,,,,,82,60.5483870967742,80,31
Alp_Grum,Switzerland,2013,1,,,,,,,60,67.9032258064516,95,31
Alp_Grum,Switzerland,2013,2,,,,,,,43,62.3571428571429,75,28
Alp_Grum,Switzerland,2013,3,,,,,,,79,68.8709677419355,85,31
Alp_Grum,Switzerland,2013,4,,,,,,,70,43.0333333333333,78,30
Alp_Grum,Switzerland,2013,11,,,,,,,70,9.36666666666667,28,19
Alp_Grum,Switzerland,2013,12,,,,,,,110,25.1612903225806,93,28
Alp_Grum,Switzerland,2014,1,,,,,,,274,161.645161290323,258,31
Alp_Grum,Switzerland,2014,2,,,,,,,245,337.678571428571,390,28
Alp_Grum,Switzerland,2014,3,,,,,,,113,284.193548387097,383,31
Alp_Grum,Switzerland,2014,4,,,,,,,25,147.0,205,30
Alp_Grum,Switzerland,2014,10,,,,,,,15,1.45161290322581,15,4
Alp_Grum,Switzerland,2014,11,,,,,,,64,10.2666666666667,40,18
Alp_Grum,Switzerland,2014,12,,,,,,,69,13.6451612903226,44,28
Alp_Grum,Switzerland,2015,1,,,,,,,92,40.5483870967742,80,31
Alp_Grum,Switzerland,2015,2,,,,,,,63,74.9642857142857,95,28
Alp_Grum,Switzerland,2015,3,,,,,,,36,51.8387096774194,85,31
Alp_Grum,Switzerland,2015,4,,,,,,,13,3.83333333333333,15,14
Alp_Grum,Switzerland,2015,5,,,,,,,40,2.90322580645161,35,5
Alp_Grum,Switzerland,2015,11,,,,,,,0,0.0,0,0
Alp_Grum,Switzerland,2015,12,,,,,,,0,0.0,0,0
Alp_Grum,Switzerland,2016,1,,,,,,,101,36.8709677419355,70,30
Alp_Grum,Switzerland,2016,2,,,,,,,172,74.6551724137931,120,29
Alp_Grum,Switzerland,2016,3,,,,,,,60,67.0967741935484,110,31
Alp_Grum,Switzerland,2016,4,,,,,,,45,18.1666666666667,35,23
Alp_Grum,Switzerland,2016,11,,,,,,,76,24.3,50,26
Alp_Grum,Switzerland,2016,12,,,,,,,0,11.0,20,31
Alp_Grum,Switzerland,2017,1,,,,,,,12,5.54838709677419,12,26
Alp_Grum,Switzerland,2017,2,,,,,,,93,32.1428571428572,58,27
Alp_Grum,Switzerland,2017,3,,,,,,,63,42.2258064516129,88,27
Alp_Grum,Switzerland,2017,4,,,,,,,45,5.5,45,5
Alp_Grum,Switzerland,2017,5,,,,,,,65,6.93548387096774,40,9
Alp_Grum,Switzerland,2017,10,,,,,,,10,0.483870967741936,10,2
Alp_Grum,Switzerland,2017,11,,,,,,,20,1.73333333333333,10,8
Alp_Grum,Switzerland,2017,12,,,,,,,135,36.0,110,25
Alp_Grum,Switzerland,2018,1,,,,,,,69,102.354838709677,113,31
Alp_Grum,Switzerland,2018,2,,,,,,,39,81.8571428571429,90,28
Alp_Grum,Switzerland,2018,3,,,,,,,64,85.9677419354839,105,31
Alp_Grum,Switzerland,2018,4,,,,,,,59,111.333333333333,143,30
Alp_Grum,Switzerland,2018,5,,,,,,,0,3.2258064516129,30,5
Alp_Grum,Switzerland,2018,10,,,,,,,23,1.74193548387097,16,4
Alp_Grum,Switzerland,2018,11,,,,,,,48,9.43333333333333,40,12
Alp_Grum,Switzerland,2018,12,,,,,,,22,15.7096774193548,22,31
Alp_Grum,Switzerland,2019,1,,,,,,,15,17.7741935483871,25,31
Alp_Grum,Switzerland,2019,2,,,,,,,98,60.7857142857143,116,28
Alp_Grum,Switzerland,2019,3,,,,,,,68,23.9677419354839,50,25
Alp_Grum,Switzerland,2019,4,,,,,,,127,48.8333333333333,120,22
Alp_Grum,Switzerland,2019,5,,,,,,,40,8.54838709677419,20,20
Andermatt,Switzerland,2000,1,,,,,,,59,83.483870967742,104,31
Andermatt,Switzerland,2000,2,,,,,,,138,107.689655172414,155,29
Andermatt,Switzerland,2000,3,,,,,,,116,107.064516129032,128,31
Andermatt,Switzerland,2000,4,,,,,,,38,70.9666666666667,100,30
Andermatt,Switzerland,2000,5,,,,,,,0,0.709677419354839,15,2
Andermatt,Switzerland,2000,10,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2000,11,,,,,,,186,39.5333333333333,84,30
Andermatt,Switzerland,2000,12,,,,,,,42,38.1612903225807,51,31
Andermatt,Switzerland,2001,1,,,,,,,84,61.9677419354839,88,31
Andermatt,Switzerland,2001,2,,,,,,,129,85.6785714285714,116,28
Andermatt,Switzerland,2001,3,,,,,,,71,71.8064516129032,106,31
Andermatt,Switzerland,2001,4,,,,,,,146,33.4666666666667,66,30
Andermatt,Switzerland,2001,5,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2001,10,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2001,11,,,,,,,96,11.8333333333333,45,20
Andermatt,Switzerland,2001,12,,,,,,,54,30.258064516129,57,31
Andermatt,Switzerland,2002,1,,,,,,,4,50.7096774193548,55,31
Andermatt,Switzerland,2002,2,,,,,,,115,65.1071428571429,112,28
Andermatt,Switzerland,2002,3,,,,,,,58,70.4516129032258,106,31
Andermatt,Switzerland,2002,4,,,,,,,21,12.7,50,18
Andermatt,Switzerland,2002,5,,,,,,,103,8.12903225806452,53,12
Andermatt,Switzerland,2002,10,,,,,,,1,0.032258064516129,1,1
Andermatt,Switzerland,2002,11,,,,,,,109,12.4,46,26
Andermatt,Switzerland,2002,12,,,,,,,48,24.0645161290323,42,31
Andermatt,Switzerland,2003,1,,,,,,,141,51.3548387096774,96,31
Andermatt,Switzerland,2003,2,,,,,,,123,110.892857142857,153,28
Andermatt,Switzerland,2003,3,,,,,,,22,81.0645161290323,98,31
Andermatt,Switzerland,2003,4,,,,,,,32,26.4666666666667,62,21
Andermatt,Switzerland,2003,5,,,,,,,1,0.032258064516129,1,1
Andermatt,Switzerland,2003,10,,,,,,,44,4.7741935483871,19,14
Andermatt,Switzerland,2003,11,,,,,,,68,11.8333333333333,40,26
Andermatt,Switzerland,2003,12,,,,,,,120,23.1935483870968,63,31
Andermatt,Switzerland,2004,1,,,,,,,205,84.9677419354839,124,31
Andermatt,Switzerland,2004,2,,,,,,,98,111.241379310345,126,29
Andermatt,Switzerland,2004,3,,,,,,,69,106.387096774194,128,31
Andermatt,Switzerland,2004,4,,,,,,,81,64.6666666666667,95,30
Andermatt,Switzerland,2004,5,,,,,,,70,5.45161290322581,63,7
Andermatt,Switzerland,2004,10,,,,,,,10,0.32258064516129,5,2
Andermatt,Switzerland,2004,11,,,,,,,44,8.6,29,24
Andermatt,Switzerland,2004,12,,,,,,,121,33.9677419354839,74,31
Andermatt,Switzerland,2005,1,,,,,,,155,80.0967741935484,123,31
Andermatt,Switzerland,2005,2,,,,,,,126,124.821428571429,142,28
Andermatt,Switzerland,2005,3,,,,,,,43,114.516129032258,141,31
Andermatt,Switzerland,2005,4,,,,,,,68,30.1666666666667,68,24
Andermatt,Switzerland,2005,5,,,,,,,12,0.387096774193548,12,1
Andermatt,Switzerland,2005,10,,,,,,,1,0.354838709677419,9,2
Andermatt,Switzerland,2005,11,,,,,,,22,5.03333333333333,15,14
Andermatt,Switzerland,2005,12,,,,,,,171,45.8709677419355,92,31
Andermatt,Switzerland,2006,1,,,,,,,95,83.6129032258065,106,31
Andermatt,Switzerland,2006,2,,,,,,,127,108.107142857143,149,28
Andermatt,Switzerland,2006,3,,,,,,,134,131.903225806452,168,31
Andermatt,Switzerland,2006,4,,,,,,,54,54.9666666666667,91,27
Andermatt,Switzerland,2006,5,,,,,,,23,0.741935483870968,15,2
Andermatt,Switzerland,2006,10,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2006,11,,,,,,,15,1.03333333333333,9,7
Andermatt,Switzerland,2006,12,,,,,,,98,25.7096774193548,60,25
Andermatt,Switzerland,2007,1,,,,,,,79,35.3548387096774,50,31
Andermatt,Switzerland,2007,2,,,,,,,82,46.8928571428572,79,28
Andermatt,Switzerland,2007,3,,,,,,,60,52.6129032258065,65,31
Andermatt,Switzerland,2007,4,,,,,,,4,8.0,40,10
Andermatt,Switzerland,2007,5,,,,,,,52,1.80645161290323,35,5
Andermatt,Switzerland,2007,10,,,,,,,2,0.0645161290322581,2,1
Andermatt,Switzerland,2007,11,,,,,,,133,30.6,73,24
Andermatt,Switzerland,2007,12,,,,,,,117,57.4193548387097,81,31
Andermatt,Switzerland,2008,1,,,,,,,94,83.7096774193548,118,31
Andermatt,Switzerland,2008,2,,,,,,,30,94.3103448275862,110,29
Andermatt,Switzerland,2008,3,,,,,,,140,73.741935483871,104,31
Andermatt,Switzerland,2008,4,,,,,,,109,65.8666666666667,114,30
Andermatt,Switzerland,2008,5,,,,,,,11,1.2258064516129,25,2
Andermatt,Switzerland,2008,10,,,,,,,112,5.54838709677419,82,5
Andermatt,Switzerland,2008,11,,,,,,,109,17.6666666666667,57,23
Andermatt,Switzerland,2008,12,,,,,,,153,70.5161290322581,90,31
Andermatt,Switzerland,2009,1,,,,,,,68,81.9354838709677,106,31
Andermatt,Switzerland,2009,2,,,,,,,220,137.642857142857,184,28
Andermatt,Switzerland,2009,3,,,,,,,228,166.870967741935,210,31
Andermatt,Switzerland,2009,4,,,,,,,50,103.6,160,30
Andermatt,Switzerland,2009,5,,,,,,,0,9.0,52,8
Andermatt,Switzerland,2009,10,,,,,,,11,1.16129032258065,10,5
Andermatt,Switzerland,2009,11,,,,,,,31,1.9,12,8
Andermatt,Switzerland,2009,12,,,,,,,172,65.8709677419355,97,31
Andermatt,Switzerland,2010,1,,,,,,,73,69.2903225806452,98,31
Andermatt,Switzerland,2010,2,,,,,,,52,90.3214285714286,100,28
Andermatt,Switzerland,2010,3,,,,,,,68,77.0322580645161,94,31
Andermatt,Switzerland,2010,4,,,,,,,24,24.3666666666667,60,18
Andermatt,Switzerland,2010,5,,,,,,,29,1.35483870967742,19,4
Andermatt,Switzerland,2010,10,,,,,,,32,2.51612903225806,16,9
Andermatt,Switzerland,2010,11,,,,,,,134,20.4666666666667,45,21
Andermatt,Switzerland,2010,12,,,,,,,126,42.258064516129,64,31
Andermatt,Switzerland,2011,1,,,,,,,29,41.4516129032258,50,31
Andermatt,Switzerland,2011,2,,,,,,,42,44.4285714285714,68,28
Andermatt,Switzerland,2011,3,,,,,,,9,38.4838709677419,64,30
Andermatt,Switzerland,2011,4,,,,,,,16,0.533333333333333,16,1
Andermatt,Switzerland,2011,5,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2011,10,,,,,,,42,1.67741935483871,31,4
Andermatt,Switzerland,2011,11,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2011,12,,,,,,,288,64.0645161290323,150,27
Andermatt,Switzerland,2012,1,,,,,,,230,171.774193548387,206,31
Andermatt,Switzerland,2012,2,,,,,,,32,184.241379310345,196,29
Andermatt,Switzerland,2012,3,,,,,,,82,169.870967741935,209,31
Andermatt,Switzerland,2012,4,,,,,,,49,93.8666666666667,134,30
Andermatt,Switzerland,2012,5,,,,,,,14,3.16129032258065,30,6
Andermatt,Switzerland,2012,6,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2012,7,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2012,8,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2012,9,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2012,10,,,,,,,46,2.96774193548387,25,7
Andermatt,Switzerland,2012,11,,,,,,,49,2.76666666666667,35,5
Andermatt,Switzerland,2012,12,,,,,,,223,72.258064516129,99,31
Andermatt,Switzerland,2013,1,,,,,,,81,81.9677419354839,100,31
Andermatt,Switzerland,2013,2,,,,,,,147,121.107142857143,139,28
Andermatt,Switzerland,2013,3,,,,,,,32,96.9677419354839,118,31
Andermatt,Switzerland,2013,4,,,,,,,95,57.8,95,30
Andermatt,Switzerland,2013,5,,,,,,,18,0.67741935483871,9,4
Andermatt,Switzerland,2013,6,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2013,7,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2013,8,,,,,,,0,0.0,0,0
Andermatt,Switzerland,2013,10,,,,,,,58,3.25806451612903,42,4
Andermatt,Switzerland,2013,11,,,,,,,109,18.9,40,20
Andermatt,Switzerland,2013,12,,,,,,,77,40.9354838709677,75,31
Andermatt,Switzerland,2014,1,,,,,,,63,64.4516129032258,80,31
Andermatt,Switzerland,2014,2,,,,,,,144,104.714285714286,129,28
Andermatt,Switzerland,2014,3,,,,,,,94,97.2903225806452,128,31
